RelativeTime_s,Player_Anim,Player_Anim_Hex,Target_Anim,Target_Anim_Hex
18.044,18002,0x4652,2003021,0x1E904D
18.073,18002,0x4652,2003021,0x1E904D
18.181,18002,0x4652,2003021,0x1E904D
18.196,18002,0x4652,2003021,0x1E904D
18.228,18002,0x4652,2003021,0x1E904D
18.260,18002,0x4652,2003021,0x1E904D
18.293,18002,0x4652,2003021,0x1E904D
18.343,18002,0x4652,2003021,0x1E904D
18.354,18002,0x4652,2003021,0x1E904D
18.385,18002,0x4652,2003021,0x1E904D
18.415,18002,0x4652,2003021,0x1E904D
18.449,18002,0x4652,2003021,0x1E904D
18.485,18002,0x4652,2003021,0x1E904D
18.509,18002,0x4652,2003021,0x1E904D
18.542,18002,0x4652,2003021,0x1E904D
18.575,18002,0x4652,2003021,0x1E904D
18.696,18002,0x4652,2003021,0x1E904D
18.700,18002,0x4652,2003021,0x1E904D
18.731,18002,0x4652,2003021,0x1E904D
18.764,18002,0x4652,2003021,0x1E904D
18.793,18002,0x4652,2003021,0x1E904D
18.838,18002,0x4652,2003021,0x1E904D
18.853,18002,0x4652,2003021,0x1E904D
18.884,18002,0x4652,2003021,0x1E904D
18.918,18002,0x4652,2003021,0x1E904D
18.948,18002,0x4652,2003021,0x1E904D
18.979,18002,0x4652,2003021,0x1E904D
19.009,18002,0x4652,2003021,0x1E904D
19.043,18002,0x4652,2003021,0x1E904D
19.075,18002,0x4652,2003021,0x1E904D
19.103,18002,0x4652,2003021,0x1E904D
19.235,18002,0x4652,2003021,0x1E904D
19.259,18002,0x4652,2003021,0x1E904D
19.293,18002,0x4652,2003021,0x1E904D
19.345,18002,0x4652,2003021,0x1E904D
19.357,18002,0x4652,2003021,0x1E904D
19.384,18002,0x4652,2003021,0x1E904D
19.416,18002,0x4652,2003021,0x1E904D
19.449,18002,0x4652,2003021,0x1E904D
19.481,18002,0x4652,2003021,0x1E904D
19.510,18002,0x4652,2003021,0x1E904D
19.542,18002,0x4652,2003021,0x1E904D
19.574,18002,0x4652,2003021,0x1E904D
19.604,18002,0x4652,2003021,0x1E904D
19.738,18002,0x4652,2003021,0x1E904D
19.762,18002,0x4652,2003021,0x1E904D
19.792,18002,0x4652,2003021,0x1E904D
